count,date
2,2014-05-21
1,2015-02-13
1,2015-02-19
1,2015-02-23
1,2015-04-09
1,2015-06-05
1,2015-06-11
2,2015-06-16
1,2015-06-24
1,2015-06-26
2,2015-07-01
1,2015-07-02
1,2015-07-20
1,2015-07-21
2,2015-07-22
2,2015-07-24
2,2015-07-28
1,2015-07-29
1,2015-07-30
4,2015-07-31
5,2015-08-04
8,2015-08-05
5,2015-08-06
7,2015-08-07
1,2015-08-08
10,2015-08-10
11,2015-08-11
9,2015-08-12
7,2015-08-13
6,2015-08-14
1,2015-08-15
3,2015-08-16
7,2015-08-17
8,2015-08-18
9,2015-08-19
6,2015-08-20
2,2015-08-21
6,2015-08-24
8,2015-08-25
2,2015-08-26
9,2015-08-27
4,2015-08-28
1,2015-08-29
1,2015-08-30
1,2015-08-31
3,2015-09-01
8,2015-09-02
2,2015-09-03
2,2015-09-04
2,2015-09-08
1,2015-09-09
4,2015-09-10
10,2015-09-11
1,2015-09-13
1,2015-09-14
3,2015-09-15
4,2015-09-16
4,2015-09-17
2,2015-09-18
1,2015-09-21
5,2015-09-23
7,2015-09-24
10,2015-09-25
3,2015-09-28
9,2015-09-29
2,2015-09-30
1,2015-10-01
4,2015-10-02
4,2015-10-05
3,2015-10-06
8,2015-10-07
3,2015-10-08
5,2015-10-09
4,2015-10-12
6,2015-10-13
5,2015-10-14
8,2015-10-15
3,2015-10-16
1,2015-10-17
1,2015-10-19
4,2015-10-20
1,2015-10-21
2,2015-10-22
1,2015-10-23
1,2015-10-27
7,2015-10-28
5,2015-10-29
1,2015-11-02
7,2015-11-03
2,2015-11-04
2,2015-11-05
3,2015-11-06
1,2015-11-10
3,2015-11-11
3,2015-11-12
4,2015-11-13
4,2015-11-16
7,2015-11-17
3,2015-11-18
5,2015-11-19
3,2015-11-20
4,2015-11-24
7,2015-11-25
5,2015-11-30
6,2015-12-01
5,2015-12-02
2,2015-12-03
5,2015-12-04
2,2015-12-07
5,2015-12-08
3,2015-12-09
2,2015-12-10
3,2015-12-11
6,2015-12-14
2,2015-12-15
3,2015-12-16
5,2015-12-17
11,2015-12-18
2,2015-12-21
3,2015-12-22
2,2015-12-23
2,2015-12-28
1,2015-12-29
4,2015-12-30
2,2015-12-31
10,2016-01-05
11,2016-01-06
3,2016-01-07
6,2016-01-08
5,2016-01-11
6,2016-01-12
6,2016-01-13
12,2016-01-14
2,2016-01-15
7,2016-01-18
4,2016-01-19
4,2016-01-20
7,2016-01-21
6,2016-01-22
2,2016-01-25
3,2016-01-26
5,2016-01-27
11,2016-01-28
6,2016-01-29
8,2016-02-01
7,2016-02-02
5,2016-02-03
3,2016-02-04
4,2016-02-05
6,2016-02-08
4,2016-02-09
1,2016-02-10
13,2016-02-11
5,2016-02-12
1,2016-02-13
