day,hour,value
4,24,1
5,24,1
6,24,1
7,24,1
4,1,1
5,1,2
6,1,2
6,2,1
5,3,1
6,3,1
1,5,1
3,5,2
4,5,1
6,5,1
3,6,2
5,7,1
2,8,2
5,8,1
6,8,1
2,9,1
3,9,1
4,9,3
5,9,4
6,9,1
2,10,7
3,10,13
4,10,10
5,10,7
6,10,15
1,11,1
2,11,7
3,11,7
4,11,13
5,11,14
6,11,8
2,12,11
3,12,14
4,12,17
5,12,15
6,12,12
2,13,9
3,13,16
4,13,17
5,13,11
6,13,8
7,13,1
2,14,7
3,14,10
4,14,12
5,14,12
6,14,10
7,14,1
2,15,12
3,15,20
4,15,13
5,15,18
6,15,19
2,16,9
3,16,20
4,16,18
5,16,15
6,16,13
1,17,2
2,17,9
3,17,13
4,17,12
5,17,11
6,17,14
2,18,3
3,18,9
4,18,7
5,18,14
6,18,6
1,19,1
2,19,4
3,19,7
4,19,3
5,19,8
6,19,3
7,19,1
2,20,2
3,20,1
4,20,5
5,20,1
6,20,1
7,20,1
2,21,2
4,21,7
5,21,1
6,21,4
2,22,1
3,22,1
4,22,1
6,22,1
2,23,4
3,23,2
5,23,1
6,23,1
